Metropolitan Statistical Areas,Per capita personal income 2018,Per capita personal income 2019,Per capita personal income 2020,Per capita personal income Rank in United States 2020,Percent change 2019,Percent change 2020,Rank in United States Percent change from preceding period 2020
"Terre Haute, IN","37,284","38,502","41,658",357,3.3,8.2,84
"Texarkana, TX-AR","37,667","38,802","41,516",359,3.0,7.0,156
"The Villages, FL","48,902","53,411","54,533",128,9.2,2.1,374
"Toledo, OH","46,790","48,252","51,408",173,3.1,6.5,196
"Topeka, KS","46,180","47,253","50,479",191,2.3,6.8,173
"Trenton-Princeton, NJ","68,052","70,675","74,218",15,3.9,5.0,301
"Tucson, AZ","43,103","44,649","48,373",235,3.6,8.3,73
"Tulsa, OK","55,350","56,680","58,071",84,2.4,2.5,372
"Tuscaloosa, AL","38,107","39,482","42,084",349,3.6,6.6,193
"Twin Falls, ID","38,784","40,414","43,725",330,4.2,8.2,85
"Tyler, TX","56,084","55,986","57,076",93,-0.2,1.9,375
"Urban Honolulu, HI","57,468","59,329","62,793",43,3.2,5.8,247
"Utica-Rome, NY","43,255","45,855","49,581",212,6.0,8.1,87
"Valdosta, GA","35,953","37,045","40,046",373,3.0,8.1,89
"Vallejo, CA","49,336","51,889","58,688",76,5.2,13.1,8
"Victoria, TX","47,647","52,268","53,547",136,9.7,2.4,373
"Vineland-Bridgeton, NJ","39,448","41,327","45,498",293,4.8,10.1,30
"Virginia Beach-Norfolk-Newport News, VA-NC","48,322","49,792","53,310",137,3.0,7.1,152
"Visalia, CA","38,613","40,040","46,348",280,3.7,15.8,3
