MSA,year
"Santa Cruz-Watsonville, CA",2018
"Santa Maria-Santa Barbara, CA",2018
"Santa Rosa-Petaluma, CA",2018
"Savannah, GA",2018
"Scranton--Wilkes-Barre, PA",2018
"Seattle-Bellevue-Everett, WA",2018
"Sebastian-Vero Beach, FL",2018
"Sebring-Avon Park, FL",2018
"Sheboygan, WI",2018
"Sherman-Denison, TX",2018
"Sierra Vista-Douglas, AZ",2018
"Silver Spring-Frederick-Rockville, MD",2018
"Sioux City, IA-NE-SD",2018
"Sioux Falls, SD",2018
"Spokane-Spokane Valley, WA",2018
"Springfield, IL",2018
"Springfield, MA",2018
"Springfield, MO",2018
"Springfield, OH",2018
"State College, PA",2018
"Staunton, VA",2018
"Stockton, CA",2018
"Syracuse, NY",2018
"Tacoma-Lakewood, WA",2018
"Tallahassee, FL",2018
"Tampa-St. Petersburg-Clearwater, FL",2018
"The Villages, FL",2018
"Toledo, OH",2018
"Topeka, KS",2018
"Trenton-Princeton, NJ",2018
"Tucson, AZ",2018
"Tulsa, OK",2018
