,MSA,year,income_pc
368,"Columbus, GA-AL",2020,44760
369,"Columbus, OH",2020,56252
370,"Dallas-Fort Worth-Arlington, TX",2020,61554
371,"Daphne-Fairhope-Foley, AL",2020,50953
372,"Dayton, OH",2020,
373,"Deltona-Daytona Beach-Ormond Beach, FL",2020,47194
374,"Denver-Aurora-Lakewood, CO",2020,69822
375,"Des Moines-West Des Moines, IA",2020,58076
376,"Detroit-Warren-Dearborn, MI",2020,58356
377,"Durham-Chapel Hill, NC",2020,56703
378,"East Stroudsburg, PA",2020,48409
379,"Eau Claire, WI",2020,51569
380,"El Paso, TX",2020,41732
381,"Enid, OK",2020,46702
382,"Eugene-Springfield, OR",2020,49583
383,"Fayetteville-Springdale-Rogers, AR",2020,70085
384,"Flint, MI",2020,46152
385,"Florence-Muscle Shoals, AL",2020,41181
386,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2020,
387,"Dallas-Fort Worth-Arlington, TX",2020,61554
388,"Gainesville, FL",2020,47729
389,"Grand Rapids-Kentwood, MI",2020,54037
390,"Green Bay, WI",2020,55159
391,"Greensboro-High Point, NC",2020,47171
392,"Gulfport-Biloxi, MS",2020,41111
393,"Hattiesburg, MS",2020,41779
394,"Houston-The Woodlands-Sugar Land, TX",2020,59893
395,"Jackson, MI",2020,44889
396,"Jackson, MS",2020,47992
397,"Jacksonville, FL",2020,55125
398,"Kansas City, MO-KS",2020,58057
399,"Killeen-Temple, TX",2020,45574
400,"Kingsport-Bristol, TN-VA",2020,42869
401,"Chicago-Naperville-Elgin, IL-IN-WI",2020,67671
402,"Lakeland-Winter Haven, FL",2020,39760
403,"Lancaster, PA",2020,58434
404,"Lansing-East Lansing, MI",2020,46323
405,"Little Rock-North Little Rock-Conway, AR",2020,49837
406,"Longview, TX",2020,45075
407,"Los Angeles-Long Beach-Glendale, CA",2020,
408,"Macon-Bibb County, GA",2020,44520
409,"Madera, CA",2020,44532
410,"Madison, WI",2020,64280
411,"McAllen-Edinburg-Mission, TX",2020,31153
412,"Memphis, TN-MS-AR",2020,51155
413,"Miami-Miami Beach-Kendall, FL",2020,
414,"Milwaukee-Waukesha, WI",2020,60499
415,"Minneapolis-St. Paul-Bloomington, MN-WI",2020,67214
416,"Modesto, CA",2020,48954
417,"Monroe, MI",2020,52028
418,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020,69705
419,"Mount Vernon-Anacortes, WA",2020,57315
420,"Nashville-Davidson--Murfreesboro--Franklin, TN",2020,62076
421,"New York-Newark-Jersey City, NY-NJ-PA",2020,82322
422,"New York-Newark-Jersey City, NY-NJ-PA",2020,82322
423,"New York-Newark-Jersey City, NY-NJ-PA",2020,82322
424,"North Port-Sarasota-Bradenton, FL",2020,61988
425,"Oakland-Hayward-Berkeley, CA",2020,
426,"Ocala, FL",2020,41553
427,"Oklahoma City, OK",2020,52688
428,"Orlando-Kissimmee-Sanford, FL",2020,48223
429,"Oshkosh-Neenah, WI",2020,50840
430,"Oxnard-Thousand Oaks-Ventura, CA",2020,67422
431,"Palm Bay-Melbourne-Titusville, FL",2020,51507
432,"Pensacola-Ferry Pass-Brent, FL",2020,48154
433,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020,69705
434,"Phoenix-Mesa-Chandler, AZ",2020,51851
435,"Pittsburgh, PA",2020,63675
436,"Portland-Vancouver-Hillsboro, OR-WA",2020,62603
437,"Port St. Lucie, FL",2020,58649
438,"Providence-Warwick, RI-MA",2020,60897
439,"Raleigh-Cary, NC",2020,60884
440,"Reading, PA",2020,55953
441,"Richmond, VA",2020,61148
442,"Riverside-San Bernardino-Ontario, CA",2020,45365
443,"Roanoke, VA",2020,50215
444,"Rochester, MN",2020,59842
445,"Rochester, NY",2020,56477
446,"Rome, GA",2020,41238
447,"Sacramento-Roseville-Folsom, CA",2020,61852
448,"St. Louis, MO-IL",2020,60844
449,"Salt Lake City, UT",2020,58008
450,"San Antonio-New Braunfels, TX",2020,50022
451,"San Diego-Chula Vista-Carlsbad, CA",2020,66266
452,"San Francisco-Redwood City-South San Francisco, CA",2020,
453,"San Jose-Sunnyvale-Santa Clara, CA",2020,121619
454,"San Luis Obispo-Paso Robles, CA",2020,62342
455,"Santa Cruz-Watsonville, CA",2020,75957
456,"Santa Maria-Santa Barbara, CA",2020,67879
457,"Santa Rosa-Petaluma, CA",2020,71386
458,"Savannah, GA",2020,51184
459,"Scranton--Wilkes-Barre, PA",2020,51246
460,"Seattle-Bellevue-Everett, WA",2020,
461,"Sherman-Denison, TX",2020,47045
462,"Silver Spring-Frederick-Rockville, MD",2020,
463,"Spokane-Spokane Valley, WA",2020,49449
464,"Springfield, MO",2020,44565
465,"Springfield, OH",2020,45363
466,"Stockton, CA",2020,51816
467,"Tacoma-Lakewood, WA",2020,
468,"Tampa-St. Petersburg-Clearwater, FL",2020,52291
469,"The Villages, FL",2020,54533
470,"Toledo, OH",2020,51408
471,"Trenton-Princeton, NJ",2020,74218
472,"Tuscaloosa, AL",2020,42084
473,"Tyler, TX",2020,57076
474,"Valdosta, GA",2020,40046
475,"Virginia Beach-Norfolk-Newport News, VA-NC",2020,53310
476,"Waco, TX",2020,45403
477,"Warner Robins, GA",2020,45888
478,"Detroit-Warren-Dearborn, MI",2020,58356
479,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2020,76771
480,"Wenatchee, WA",2020,55047
481,"West Palm Beach-Boca Raton-Delray Beach, FL",2020,
482,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2020,69705
483,"Winston-Salem, NC",2020,48151
484,"Youngstown-Warren-Boardman, OH-PA",2020,46635
485,"Abilene, TX",2018,44039
486,"Akron, OH",2018,49770
487,"Albany-Lebanon, OR",2018,42811
488,"Albany-Schenectady-Troy, NY",2018,57743
489,"Allentown-Bethlehem-Easton, PA-NJ",2018,53518
490,"Altoona, PA",2018,46236
491,"Amarillo, TX",2018,46895
492,"Ames, IA",2018,43564
493,"Anaheim-Santa Ana-Irvine, CA",2018,
494,"Anchorage, AK",2018,61584
495,"Ann Arbor, MI",2018,58667
496,"Anniston-Oxford, AL",2018,36482
497,"Appleton, WI",2018,50951
498,"Asheville, NC",2018,45540
499,"Athens-Clarke County, GA",2018,40371
500,"Atlanta-Sandy Springs-Alpharetta, GA",2018,53354
501,"Atlantic City-Hammonton, NJ",2018,48110
502,"Augusta-Richmond County, GA-SC",2018,41738
503,"Austin-Round Rock-Georgetown, TX",2018,60764
504,"Bakersfield, CA",2018,38079
505,"Baltimore-Columbia-Towson, MD",2018,60766
506,"Barnstable Town, MA",2018,71735
507,"Battle Creek, MI",2018,39189
508,"Bay City, MI",2018,42286
509,"Beaumont-Port Arthur, TX",2018,44232
510,"Bellingham, WA",2018,47898
511,"Bend, OR",2018,55473
512,"Binghamton, NY",2018,43754
513,"Birmingham-Hoover, AL",2018,51377
514,"Blacksburg-Christiansburg, VA",2018,37683
515,"Bloomington, IL",2018,49302
516,"Bloomsburg-Berwick, PA",2018,45463
517,"Boston-Cambridge-Newton, MA-NH",2018,77752
518,"Boulder, CO",2018,72607
519,"Bremerton-Silverdale-Port Orchard, WA",2018,54597
520,"Brownsville-Harlingen, TX",2018,28978
521,"Brunswick, GA",2018,41595
522,"Buffalo-Cheektowaga, NY",2018,49344
523,"Burlington, NC",2018,39742
524,"Burlington-South Burlington, VT",2018,56799
525,"California-Lexington Park, MD",2018,56372
526,"Boston-Cambridge-Newton, MA-NH",2018,77752
527,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2018,64053
528,"Canton-Massillon, OH",2018,44544
529,"Cape Coral-Fort Myers, FL",2018,52022
530,"Cape Girardeau, MO-IL",2018,42816
531,"Carbondale-Marion, IL",2018,40124
532,"Cedar Rapids, IA",2018,52032
533,"Chambersburg-Waynesboro, PA",2018,46435
534,"Champaign-Urbana, IL",2018,44971
535,"Charleston, WV",2018,44328
536,"Charlotte-Concord-Gastonia, NC-SC",2018,52232
537,"Charlottesville, VA",2018,66576
538,"Chattanooga, TN-GA",2018,45935
539,"Cheyenne, WY",2018,52224
540,"Chicago-Naperville-Arlington Heights, IL",2018,
541,"Chico, CA",2018,42441
542,"Cleveland-Elyria, OH",2018,53881
543,"College Station-Bryan, TX",2018,41146
544,"Colorado Springs, CO",2018,48562
545,"Columbia, MO",2018,45575
546,"Columbus, GA-AL",2018,40276
547,"Columbus, OH",2018,51196
548,"Corpus Christi, TX",2018,43618
549,"Corvallis, OR",2018,45846
550,"Crestview-Fort Walton Beach-Destin, FL",2018,52807
551,"Cumberland, MD-WV",2018,39817
552,"Dallas-Fort Worth-Arlington, TX",2018,57562
553,"Dalton, GA",2018,36697
554,"Danville, IL",2018,38433
555,"Daphne-Fairhope-Foley, AL",2018,46905
556,"Davenport-Moline-Rock Island, IA-IL",2018,48660
557,"Dayton, OH",2018,
558,"Decatur, AL",2018,38608
559,"Decatur, IL",2018,47662
560,"Deltona-Daytona Beach-Ormond Beach, FL",2018,43575
561,"Denver-Aurora-Lakewood, CO",2018,64114
562,"Des Moines-West Des Moines, IA",2018,53814
563,"Detroit-Warren-Dearborn, MI",2018,52469
564,"Dothan, AL",2018,41141
565,"Dover, DE",2018,42155
566,"Dubuque, IA",2018,49703
567,"Duluth, MN-WI",2018,45717
568,"Durham-Chapel Hill, NC",2018,52243
569,"Dutchess County-Putnam County, NY",2018,
570,"East Stroudsburg, PA",2018,42708
571,"El Centro, CA",2018,35331
572,"Chicago-Naperville-Elgin, IL-IN-WI",2018,61970
573,"El Paso, TX",2018,36347
574,"Enid, OK",2018,44288
575,"Erie, PA",2018,44740
576,"Eugene-Springfield, OR",2018,44957
577,"Fayetteville, NC",2018,36324
578,"Fayetteville-Springdale-Rogers, AR",2018,67281
579,"Flint, MI",2018,40495
580,"Florence-Muscle Shoals, AL",2018,37042
581,"Fond du Lac, WI",2018,48245
582,"Fort Collins, CO",2018,53836
583,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",2018,
584,"Fort Smith, AR-OK",2018,37211
585,"Dallas-Fort Worth-Arlington, TX",2018,57562
586,"Fresno, CA",2018,41248
587,"Gadsden, AL",2018,36583
588,"Gainesville, FL",2018,43026
589,"Gainesville, GA",2018,44831
590,"Gettysburg, PA",2018,48826
591,"Glens Falls, NY",2018,46461
592,"Goldsboro, NC",2018,38115
593,"Grand Forks, ND-MN",2018,49813
594,"Grand Island, NE",2018,43165
