,MSA,num_races,household_size,frac_married,frac_school,frac_college,frac_educated,annual_births,frac_veteran,frac_disability,non_citizen,employment_rate,frac_priv_insurance,frac_mcare_insurance,frac_no_insurance,poverty_rate
3867,"Omaha-Council Bluffs, NE-IA",3.0,2.48,0.51,0.73,0.2,0.93,"230,593",0.09,0.12,0.56,0.7,0.74,0.3,0.07,0.07
3868,"Orlando-Kissimmee-Sanford, FL",4.0,2.67,0.47,0.7,0.25,0.91,"670,108",0.07,0.12,0.47,0.64,0.66,0.32,0.12,0.1
3869,"Oshkosh-Neenah, WI",,,,,,,,,,,,,,,
3870,"Oxnard-Thousand Oaks-Ventura, CA",4.0,2.96,0.49,0.7,0.26,0.85,"192,533",0.06,0.12,0.47,0.65,0.66,0.37,0.09,0.06
3871,"Palm Bay-Melbourne-Titusville, FL",4.0,2.4,0.49,0.72,0.25,0.94,"120,289",0.14,0.17,0.34,0.56,0.68,0.39,0.11,0.07
3872,"Panama City, FL",,,,,,,,,,,,,,,
3873,"Parkersburg-Vienna, WV",,,,,,,,,,,,,,,
3874,"Pensacola-Ferry Pass-Brent, FL",4.0,2.47,0.47,0.72,0.23,0.92,"112,676",0.16,0.17,0.38,0.61,0.66,0.39,0.13,0.11
3875,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
3876,"Phoenix-Mesa-Chandler, AZ",4.0,2.61,0.49,0.73,0.23,0.89,"1,171,188",0.07,0.12,0.54,0.64,0.66,0.35,0.11,0.08
3877,"Pittsburgh, PA",3.0,2.23,0.49,0.71,0.23,0.95,"506,691",0.06,0.14,0.46,0.63,0.75,0.38,0.04,0.08
3878,"Portland-Vancouver-Hillsboro, OR-WA",4.0,2.47,0.49,0.73,0.22,0.93,"617,728",0.07,0.13,0.43,0.66,0.72,0.35,0.06,0.06
3879,"Port St. Lucie, FL",4.0,2.47,0.49,0.75,0.2,0.91,"92,503",0.1,0.14,0.34,0.55,0.61,0.44,0.12,0.07
3880,"Prescott, AZ",,,,,,,,,,,,,,,
3881,"Providence-Warwick, RI-MA",4.0,2.4,0.45,0.66,0.3,0.88,"388,957",0.05,0.14,0.41,0.65,0.69,0.41,0.04,0.08
3882,"Pueblo, CO",,,,,,,,,,,,,,,
3883,"Punta Gorda, FL",,,,,,,,,,,,,,,
3884,"Racine, WI",,,,,,,,,,,,,,,
3885,"Raleigh-Cary, NC",4.0,2.6,0.52,0.71,0.24,0.93,"369,122",0.06,0.11,0.55,0.68,0.77,0.25,0.09,0.07
3886,"Reading, PA",,,,,,,,,,,,,,,
3887,"Reno, NV",,,,,,,,,,,,,,,
3888,"Richmond, VA",4.0,2.47,0.47,0.73,0.22,0.91,"315,279",0.08,0.13,0.49,0.65,0.73,0.35,0.06,0.07
3889,"Riverside-San Bernardino-Ontario, CA",4.0,3.17,0.47,0.74,0.23,0.83,"1,128,235",0.05,0.12,0.46,0.61,0.58,0.42,0.09,0.1
3890,"Rochester, MN",,,,,,,,,,,,,,,
3891,"Rochester, NY",3.0,2.3,0.45,0.67,0.28,0.91,"244,974",0.06,0.14,0.37,0.63,0.71,0.4,0.04,0.08
3892,"Rockford, IL",,,,,,,,,,,,,,,
3893,"Rome, GA",,,,,,,,,,,,,,,
3894,"Sacramento-Roseville-Folsom, CA",4.0,2.7,0.49,0.68,0.27,0.9,"576,823",0.06,0.12,0.38,0.62,0.71,0.39,0.04,0.08
3895,"Saginaw, MI",,,,,,,,,,,,,,,
3896,"St. Cloud, MN",,,,,,,,,,,,,,,
3897,"St. Joseph, MO-KS",,,,,,,,,,,,,,,
3898,"St. Louis, MO-IL",3.0,2.41,0.48,0.71,0.22,0.93,"642,539",0.07,0.14,0.42,0.65,0.74,0.32,0.06,0.07
3899,"Salem, OR",,,,,,,,,,,,,,,
3900,"Salinas, CA",,,,,,,,,,,,,,,
3901,"Salt Lake City, UT",4.0,2.81,0.51,0.72,0.23,0.92,"325,478",0.04,0.1,0.56,0.71,0.77,0.21,0.1,0.06
3902,"San Angelo, TX",,,,,,,,,,,,,,,
3903,"San Antonio-New Braunfels, TX",4.0,2.7,0.48,0.73,0.21,0.87,"643,444",0.11,0.15,0.57,0.65,0.63,0.33,0.16,0.1
3904,"San Diego-Chula Vista-Carlsbad, CA",4.0,2.75,0.47,0.64,0.32,0.88,"797,411",0.07,0.11,0.4,0.66,0.7,0.35,0.07,0.07
3905,"San Francisco-Redwood City-South San Francisco, CA",,,,,,,,,,,,,,,
3906,"San Luis Obispo-Paso Robles, CA",,,,,,,,,,,,,,,
3907,"San Rafael, CA",,,,,,,,,,,,,,,
3908,"Santa Rosa-Petaluma, CA",4.0,2.51,0.49,0.69,0.26,0.89,"105,272",0.05,0.12,0.51,0.64,0.71,0.39,0.06,0.05
3909,"Savannah, GA",,,,,,,,,,,,,,,
3910,"Scranton--Wilkes-Barre, PA",4.0,2.35,0.46,0.73,0.23,0.91,"121,783",0.07,0.16,0.56,0.6,0.69,0.43,0.06,0.09
3911,"Seattle-Bellevue-Everett, WA",,,,,,,,,,,,,,,
3912,"Sherman-Denison, TX",,,,,,,,,,,,,,,
3913,"Silver Spring-Frederick-Rockville, MD",,,,,,,,,,,,,,,
3914,"Sioux City, IA-NE-SD",,,,,,,,,,,,,,,
3915,"Sioux Falls, SD",,,,,,,,,,,,,,,
3916,"Spokane-Spokane Valley, WA",4.0,2.43,0.48,0.72,0.22,0.94,"137,062",0.1,0.16,0.39,0.61,0.64,0.45,0.05,0.08
3917,"Springfield, IL",,,,,,,,,,,,,,,
3918,"Springfield, MO",,,,,,,,,,,,,,,
3919,"Springfield, OH",,,,,,,,,,,,,,,
3920,"Staunton, VA",,,,,,,,,,,,,,,
3921,"Syracuse, NY",4.0,2.32,0.45,0.63,0.33,0.92,"151,301",0.07,0.14,0.42,0.61,0.69,0.43,0.03,0.1
3922,"Tacoma-Lakewood, WA",,,,,,,,,,,,,,,
3923,"Tallahassee, FL",,,,,,,,,,,,,,,
3924,"Tampa-St. Petersburg-Clearwater, FL",4.0,2.42,0.47,0.71,0.24,0.91,"720,482",0.09,0.14,0.4,0.61,0.64,0.37,0.11,0.09
3925,"Toledo, OH",3.0,2.3,0.45,0.68,0.25,0.92,"149,306",0.06,0.15,0.38,0.64,0.71,0.39,0.05,0.1
3926,"Trenton-Princeton, NJ",,,,,,,,,,,,,,,
3927,"Tucson, AZ",4.0,2.37,0.46,0.68,0.28,0.9,"239,465",0.1,0.15,0.42,0.59,0.63,0.43,0.09,0.1
3928,"Tulsa, OK",3.0,2.51,0.49,0.76,0.17,0.9,"236,269",0.07,0.16,0.59,0.63,0.64,0.36,0.14,0.1
3929,"Tuscaloosa, AL",,,,,,,,,,,,,,,
3930,"Tyler, TX",,,,,,,,,,,,,,,
3931,"Victoria, TX",,,,,,,,,,,,,,,
3932,"Virginia Beach-Norfolk-Newport News, VA-NC",4.0,2.41,0.48,0.7,0.26,0.93,"434,583",0.15,0.14,0.38,0.67,0.74,0.36,0.06,0.08
3933,"Visalia, CA",,,,,,,,,,,,,,,
3934,"Waco, TX",,,,,,,,,,,,,,,
3935,"Detroit-Warren-Dearborn, MI",4.0,2.46,0.46,0.74,0.21,0.91,"992,227",0.05,0.13,0.38,0.62,0.7,0.41,0.05,0.1
3936,"Washington-Arlington-Alexandria, DC-VA-MD-WV",4.0,2.62,0.49,0.68,0.26,0.92,"1,575,871",0.07,0.09,0.44,0.7,0.77,0.28,0.07,0.06
3937,"Weirton-Steubenville, WV-OH",,,,,,,,,,,,,,,
3938,"Wenatchee, WA",,,,,,,,,,,,,,,
3939,"West Palm Beach-Boca Raton-Delray Beach, FL",,,,,,,,,,,,,,,
3940,"Wichita, KS",4.0,2.55,0.49,0.74,0.2,0.9,"147,653",0.07,0.14,0.51,0.65,0.69,0.33,0.1,0.08
3941,"Wichita Falls, TX",,,,,,,,,,,,,,,
3942,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
3943,"Wilmington, NC",,,,,,,,,,,,,,,
3944,"Winchester, VA-WV",,,,,,,,,,,,,,,
3945,"Winston-Salem, NC",4.0,2.44,0.49,0.72,0.23,0.89,"154,324",0.07,0.15,0.59,0.59,0.63,0.39,0.1,0.09
3946,"York-Hanover, PA",,,,,,,,,,,,,,,
3947,"Youngstown-Warren-Boardman, OH-PA",3.0,2.26,0.47,0.74,0.2,0.92,"110,694",0.08,0.17,0.31,0.56,0.6,0.49,0.06,0.12
3948,"Abilene, TX",,,,,,,,,,,,,,,
3949,"Akron, OH",3.0,2.34,0.46,0.72,0.24,0.92,"160,665",0.06,0.14,0.4,0.63,0.68,0.4,0.06,0.09
3950,"Albany, GA",,,,,,,,,,,,,,,
3951,"Albany-Lebanon, OR",,,,,,,,,,,,,,,
3952,"Albany-Schenectady-Troy, NY",3.0,2.29,0.47,0.66,0.3,0.93,"208,912",0.06,0.13,0.38,0.63,0.74,0.38,0.03,0.07
3953,"Allentown-Bethlehem-Easton, PA-NJ",4.0,2.5,0.49,0.71,0.24,0.91,"191,596",0.06,0.13,0.42,0.64,0.72,0.37,0.06,0.08
3954,"Altoona, PA",,,,,,,,,,,,,,,
3955,"Amarillo, TX",,,,,,,,,,,,,,,
3956,"Anaheim-Santa Ana-Irvine, CA",,,,,,,,,,,,,,,
3957,"Anchorage, AK",,,,,,,,,,,,,,,
3958,"Ann Arbor, MI",,,,,,,,,,,,,,,
3959,"Anniston-Oxford, AL",,,,,,,,,,,,,,,
3960,"Appleton, WI",,,,,,,,,,,,,,,
3961,"Asheville, NC",,,,,,,,,,,,,,,
3962,"Athens-Clarke County, GA",,,,,,,,,,,,,,,
3963,"Atlanta-Sandy Springs-Alpharetta, GA",4.0,2.66,0.48,0.72,0.22,0.91,"1,573,561",0.07,0.11,0.48,0.67,0.7,0.28,0.12,0.09
3964,"Atlantic City-Hammonton, NJ",,,,,,,,,,,,,,,
3965,"Auburn-Opelika, AL",,,,,,,,,,,,,,,
3966,"Augusta-Richmond County, GA-SC",4.0,2.69,0.44,0.72,0.22,0.89,"144,792",0.11,0.16,0.44,0.61,0.65,0.38,0.11,0.13
3967,"Austin-Round Rock-Georgetown, TX",4.0,2.42,0.5,0.68,0.27,0.92,"624,985",0.06,0.1,0.58,0.71,0.74,0.23,0.13,0.07
3968,"Bakersfield, CA",4.0,3.14,0.44,0.78,0.18,0.77,"217,085",0.05,0.11,0.57,0.58,0.51,0.49,0.08,0.15
3969,"Baltimore-Columbia-Towson, MD",4.0,2.48,0.47,0.68,0.28,0.92,"672,232",0.07,0.12,0.39,0.67,0.74,0.36,0.05,0.08
3970,"Barnstable Town, MA",,,,,,,,,,,,,,,
3971,"Battle Creek, MI",,,,,,,,,,,,,,,
3972,"Bay City, MI",,,,,,,,,,,,,,,
3973,"Beaumont-Port Arthur, TX",,,,,,,,,,,,,,,
3974,"Beckley, WV",,,,,,,,,,,,,,,
3975,"Bellingham, WA",,,,,,,,,,,,,,,
3976,"Binghamton, NY",,,,,,,,,,,,,,,
3977,"Birmingham-Hoover, AL",3.0,2.5,0.47,0.75,0.17,0.9,"264,679",0.06,0.15,0.58,0.61,0.69,0.35,0.08,0.1
3978,"Bismarck, ND",,,,,,,,,,,,,,,
3979,"Blacksburg-Christiansburg, VA",,,,,,,,,,,,,,,
3980,"Bloomington, IL",,,,,,,,,,,,,,,
3981,"Boston-Cambridge-Newton, MA-NH",4.0,2.47,0.47,0.63,0.31,0.92,"1,196,562",0.04,0.1,0.46,0.69,0.76,0.34,0.03,0.06
3982,"Boulder, CO",,,,,,,,,,,,,,,
3983,"Bremerton-Silverdale-Port Orchard, WA",,,,,,,,,,,,,,,
3984,"Brunswick, GA",,,,,,,,,,,,,,,
3985,"Buffalo-Cheektowaga, NY",4.0,2.25,0.44,0.68,0.27,0.93,"260,535",0.06,0.14,0.36,0.63,0.7,0.44,0.03,0.1
3986,"Burlington, NC",,,,,,,,,,,,,,,
3987,"Burlington-South Burlington, VT",,,,,,,,,,,,,,,
3988,"California-Lexington Park, MD",,,,,,,,,,,,,,,
3989,"Boston-Cambridge-Newton, MA-NH",4.0,2.47,0.47,0.63,0.31,0.92,"1,196,562",0.04,0.1,0.46,0.69,0.76,0.34,0.03,0.06
3990,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
3991,"Canton-Massillon, OH",,,,,,,,,,,,,,,
3992,"Cape Coral-Fort Myers, FL",4.0,2.43,0.53,0.75,0.21,0.9,"147,478",0.08,0.14,0.39,0.53,0.61,0.45,0.11,0.09
3993,"Cape Girardeau, MO-IL",,,,,,,,,,,,,,,
3994,"Cedar Rapids, IA",,,,,,,,,,,,,,,
3995,"Chambersburg-Waynesboro, PA",,,,,,,,,,,,,,,
3996,"Charleston, WV",,,,,,,,,,,,,,,
3997,"Charlotte-Concord-Gastonia, NC-SC",4.0,2.54,0.49,0.75,0.19,0.9,"673,803",0.06,0.11,0.57,0.67,0.69,0.31,0.1,0.08
3998,"Chattanooga, TN-GA",3.0,2.42,0.5,0.73,0.2,0.9,"131,391",0.07,0.15,0.65,0.62,0.68,0.34,0.1,0.08
3999,"Chicago-Naperville-Arlington Heights, IL",,,,,,,,,,,,,,,
4000,"Cleveland, TN",,,,,,,,,,,,,,,
4001,"Cleveland-Elyria, OH",4.0,2.28,0.45,0.72,0.22,0.92,"459,168",0.06,0.15,0.38,0.64,0.68,0.4,0.05,0.09
4002,"College Station-Bryan, TX",,,,,,,,,,,,,,,
4003,"Colorado Springs, CO",4.0,2.52,0.53,0.66,0.29,0.95,"183,294",0.15,0.13,0.35,0.67,0.73,0.35,0.07,0.06
4004,"Columbia, MO",,,,,,,,,,,,,,,
4005,"Columbus, GA-AL",,,,,,,,,,,,,,,
4006,"Columbus, OH",4.0,2.45,0.48,0.7,0.24,0.92,"530,168",0.06,0.12,0.48,0.67,0.7,0.33,0.08,0.09
4007,"Corpus Christi, TX",,,,,,,,,,,,,,,
4008,"Corvallis, OR",,,,,,,,,,,,,,,
4009,"Crestview-Fort Walton Beach-Destin, FL",,,,,,,,,,,,,,,
4010,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
4011,"Dalton, GA",,,,,,,,,,,,,,,
4012,"Daphne-Fairhope-Foley, AL",,,,,,,,,,,,,,,
4013,"Davenport-Moline-Rock Island, IA-IL",,,,,,,,,,,,,,,
4014,"Dayton, OH",,,,,,,,,,,,,,,
4015,"Decatur, AL",,,,,,,,,,,,,,,
4016,"Decatur, IL",,,,,,,,,,,,,,,
4017,"Deltona-Daytona Beach-Ormond Beach, FL",3.0,2.31,0.49,0.7,0.24,0.92,"131,589",0.1,0.18,0.39,0.52,0.6,0.43,0.13,0.08
4018,"Denver-Aurora-Lakewood, CO",4.0,2.47,0.49,0.72,0.22,0.92,"752,085",0.06,0.1,0.52,0.72,0.71,0.3,0.08,0.05
4019,"Des Moines-West Des Moines, IA",3.0,2.42,0.52,0.74,0.19,0.93,"173,385",0.06,0.11,0.48,0.71,0.75,0.32,0.04,0.05
4020,"Detroit-Warren-Dearborn, MI",4.0,2.46,0.46,0.74,0.21,0.91,"992,227",0.05,0.13,0.38,0.62,0.7,0.41,0.05,0.1
4021,"Dothan, AL",,,,,,,,,,,,,,,
4022,"Dover, DE",,,,,,,,,,,,,,,
4023,"Duluth, MN-WI",,,,,,,,,,,,,,,
4024,"Durham-Chapel Hill, NC",4.0,2.36,0.46,0.59,0.37,0.91,"166,768",0.06,0.12,0.57,0.62,0.72,0.31,0.1,0.09
4025,"Dutchess County-Putnam County, NY",,,,,,,,,,,,,,,
4026,"East Stroudsburg, PA",,,,,,,,,,,,,,,
4027,"Eau Claire, WI",,,,,,,,,,,,,,,
4028,"Chicago-Naperville-Elgin, IL-IN-WI",4.0,2.55,0.47,0.71,0.23,0.9,"2,284,402",0.04,0.11,0.46,0.66,0.7,0.33,0.08,0.08
4029,"Elmira, NY",,,,,,,,,,,,,,,
4030,"El Paso, TX",4.0,2.87,0.46,0.69,0.26,0.81,"211,861",0.08,0.14,0.49,0.63,0.52,0.35,0.22,0.17
4031,"Enid, OK",,,,,,,,,,,,,,,
4032,"Erie, PA",,,,,,,,,,,,,,,
4033,"Fayetteville, NC",4.0,2.55,0.46,0.7,0.26,0.92,"130,490",0.17,0.16,0.47,0.63,0.65,0.4,0.1,0.12
4034,"Fayetteville-Springdale-Rogers, AR",3.0,2.65,0.52,0.73,0.22,0.89,"141,373",0.07,0.1,0.71,0.66,0.64,0.34,0.11,0.07
4035,"Flagstaff, AZ",,,,,,,,,,,,,,,
4036,"Flint, MI",,,,,,,,,,,,,,,
4037,"Florence-Muscle Shoals, AL",,,,,,,,,,,,,,,
4038,"Fond du Lac, WI",,,,,,,,,,,,,,,
4039,"Fort Collins, CO",,,,,,,,,,,,,,,
4040,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL",,,,,,,,,,,,,,,
4041,"Fort Smith, AR-OK",,,,,,,,,,,,,,,
4042,"Dallas-Fort Worth-Arlington, TX",4.0,2.71,0.51,0.75,0.2,0.87,"1,974,825",0.06,0.1,0.59,0.69,0.66,0.25,0.17,0.08
4043,"Fresno, CA",4.0,3.09,0.44,0.75,0.21,0.79,"247,146",0.05,0.13,0.51,0.61,0.53,0.5,0.06,0.16
4044,"Gadsden, AL",,,,,,,,,,,,,,,
4045,"Gainesville, FL",,,,,,,,,,,,,,,
4046,"Gainesville, GA",,,,,,,,,,,,,,,
4047,"Gettysburg, PA",,,,,,,,,,,,,,,
4048,"Glens Falls, NY",,,,,,,,,,,,,,,
4049,"Goldsboro, NC",,,,,,,,,,,,,,,
4050,"Grand Forks, ND-MN",,,,,,,,,,,,,,,
4051,"Grand Island, NE",,,,,,,,,,,,,,,
4052,"Grand Junction, CO",,,,,,,,,,,,,,,
4053,"Grand Rapids-Kentwood, MI",3.0,2.59,0.52,0.74,0.2,0.92,"260,321",0.05,0.11,0.5,0.67,0.75,0.33,0.05,0.06
4054,"Greeley, CO",,,,,,,,,,,,,,,
4055,"Green Bay, WI",,,,,,,,,,,,,,,
4056,"Greensboro-High Point, NC",4.0,2.46,0.46,0.67,0.28,0.89,"188,414",0.06,0.14,0.52,0.62,0.66,0.36,0.1,0.11
4057,"Greenville, NC",,,,,,,,,,,,,,,
4058,"Gulfport-Biloxi, MS",,,,,,,,,,,,,,,
4059,"Hagerstown-Martinsburg, MD-WV",,,,,,,,,,,,,,,
4060,"Harrisburg-Carlisle, PA",4.0,2.36,0.51,0.77,0.19,0.92,"131,739",0.08,0.12,0.45,0.64,0.75,0.36,0.05,0.07
4061,"Harrisonburg, VA",,,,,,,,,,,,,,,
4062,"Hickory-Lenoir-Morganton, NC",,,,,,,,,,,,,,,
4063,"Hinesville, GA",,,,,,,,,,,,,,,
4064,"Homosassa Springs, FL",,,,,,,,,,,,,,,
4065,"Houston-The Woodlands-Sugar Land, TX",3.0,2.74,0.51,0.75,0.21,0.84,"1,808,878",0.05,0.1,0.57,0.66,0.6,0.28,0.19,0.11
4066,"Huntsville, AL",4.0,2.38,0.53,0.68,0.26,0.91,"117,812",0.11,0.13,0.43,0.63,0.8,0.27,0.08,0.07
4067,"Iowa City, IA",,,,,,,,,,,,,,,
4068,"Ithaca, NY",,,,,,,,,,,,,,,
4069,"Jackson, MS",3.0,2.48,0.43,0.74,0.21,0.89,"142,828",0.06,0.16,0.57,0.59,0.61,0.37,0.13,0.14
4070,"Jackson, TN",,,,,,,,,,,,,,,
4071,"Jacksonville, FL",3.0,2.49,0.48,0.76,0.19,0.92,"380,009",0.12,0.13,0.39,0.63,0.7,0.34,0.1,0.09
4072,"Jacksonville, NC",,,,,,,,,,,,,,,
4073,"Janesville-Beloit, WI",,,,,,,,,,,,,,,
4074,"Jefferson City, MO",,,,,,,,,,,,,,,
4075,"Johnstown, PA",,,,,,,,,,,,,,,
4076,"Joplin, MO",,,,,,,,,,,,,,,
4077,"Kalamazoo-Portage, MI",,,,,,,,,,,,,,,
4078,"Kansas City, MO-KS",3.0,2.46,0.52,0.77,0.17,0.93,"517,202",0.07,0.12,0.52,0.68,0.75,0.28,0.09,0.07
4079,"Kennewick-Richland, WA",,,,,,,,,,,,,,,
4080,"Killeen-Temple, TX",,,,,,,,,,,,,,,
4081,"Kingsport-Bristol, TN-VA",,,,,,,,,,,,,,,
4082,"Kingston, NY",,,,,,,,,,,,,,,
4083,"Knoxville, TN",4.0,2.42,0.49,0.68,0.26,0.91,"204,937",0.08,0.15,0.57,0.6,0.69,0.37,0.09,0.08
4084,"La Crosse-Onalaska, WI-MN",,,,,,,,,,,,,,,
4085,"Chicago-Naperville-Elgin, IL-IN-WI",4.0,2.55,0.47,0.71,0.23,0.9,"2,284,402",0.04,0.11,0.46,0.66,0.7,0.33,0.08,0.08
4086,"Lake Havasu City-Kingman, AZ",,,,,,,,,,,,,,,
4087,"Lakeland-Winter Haven, FL",3.0,2.68,0.46,0.8,0.16,0.88,"170,379",0.07,0.14,0.54,0.56,0.58,0.4,0.14,0.12
4088,"Lancaster, PA",4.0,2.57,0.56,0.77,0.2,0.88,"121,378",0.06,0.12,0.37,0.66,0.69,0.35,0.11,0.06
4089,"Lansing-East Lansing, MI",3.0,2.37,0.45,0.55,0.4,0.94,"131,186",0.06,0.15,0.45,0.62,0.75,0.36,0.05,0.07
4090,"Las Vegas-Henderson-Paradise, NV",4.0,2.66,0.44,0.76,0.21,0.87,"551,521",0.08,0.13,0.45,0.64,0.61,0.37,0.13,0.12
4091,"Lawton, OK",,,,,,,,,,,,,,,
4092,"Lebanon, PA",,,,,,,,,,,,,,,
4093,"Lima, OH",,,,,,,,,,,,,,,
4094,"Lincoln, NE",,,,,,,,,,,,,,,
4095,"Little Rock-North Little Rock-Conway, AR",3.0,2.39,0.51,0.74,0.2,0.93,"183,176",0.08,0.15,0.56,0.63,0.66,0.39,0.08,0.1
4096,"Longview, TX",,,,,,,,,,,,,,,
4097,"Longview, WA",,,,,,,,,,,,,,,
4098,"Los Angeles-Long Beach-Glendale, CA",,,,,,,,,,,,,,,
4099,"Lubbock, TX",,,,,,,,,,,,,,,
4100,"Lynchburg, VA",,,,,,,,,,,,,,,
4101,"Macon-Bibb County, GA",,,,,,,,,,,,,,,
4102,"Madison, WI",3.0,2.28,0.48,0.62,0.33,0.96,"171,447",0.05,0.09,0.58,0.69,0.82,0.27,0.04,0.05
4103,"Manhattan, KS",,,,,,,,,,,,,,,
4104,"Mansfield, OH",,,,,,,,,,,,,,,
4105,"McAllen-Edinburg-Mission, TX",3.0,3.25,0.48,0.81,0.15,0.69,"218,483",0.03,0.12,0.67,0.57,0.36,0.39,0.31,0.26
4106,"Medford, OR",,,,,,,,,,,,,,,
4107,"Memphis, TN-MS-AR",4.0,2.53,0.42,0.77,0.17,0.9,"327,202",0.07,0.13,0.64,0.64,0.64,0.37,0.11,0.13
4108,"Miami-Miami Beach-Kendall, FL",,,,,,,,,,,,,,,
4109,"Midland, MI",,,,,,,,,,,,,,,
4110,"Midland, TX",,,,,,,,,,,,,,,
4111,"Milwaukee-Waukesha, WI",3.0,2.37,0.47,0.76,0.2,0.93,"364,582",0.05,0.12,0.49,0.66,0.7,0.36,0.06,0.09
4112,"Minneapolis-St. Paul-Bloomington, MN-WI",4.0,2.5,0.5,0.72,0.21,0.95,"865,454",0.06,0.11,0.39,0.71,0.78,0.31,0.04,0.05
4113,"Mobile, AL",,,,,,,,,,,,,,,
4114,"Modesto, CA",4.0,3.14,0.47,0.77,0.19,0.78,"132,786",0.04,0.12,0.53,0.62,0.57,0.44,0.08,0.11
4115,"Monroe, MI",,,,,,,,,,,,,,,
4116,"Montgomery, AL",,,,,,,,,,,,,,,
4117,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
4118,"Morristown, TN",,,,,,,,,,,,,,,
4119,"Mount Vernon-Anacortes, WA",,,,,,,,,,,,,,,
4120,"Muskegon, MI",,,,,,,,,,,,,,,
4121,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",3.0,2.39,0.52,0.74,0.21,0.93,"96,690",0.11,0.18,0.44,0.52,0.6,0.48,0.12,0.08
4122,"Naples-Marco Island, FL",,,,,,,,,,,,,,,
4123,"Nashville-Davidson--Murfreesboro--Franklin, TN",3.0,2.49,0.51,0.72,0.22,0.92,"506,130",0.06,0.11,0.58,0.68,0.74,0.29,0.09,0.07
4124,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
4125,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
4126,"New Bern, NC",,,,,,,,,,,,,,,
4127,"New York-Newark-Jersey City, NY-NJ-PA",4.0,2.64,0.46,0.68,0.25,0.88,"4,668,590",0.03,0.11,0.41,0.65,0.66,0.39,0.07,0.1
4128,"Niles, MI",,,,,,,,,,,,,,,
4129,"North Port-Sarasota-Bradenton, FL",4.0,2.31,0.54,0.75,0.19,0.94,"146,800",0.09,0.15,0.34,0.53,0.67,0.43,0.11,0.06
4130,"Oakland-Hayward-Berkeley, CA",,,,,,,,,,,,,,,
4131,"Ocala, FL",,,,,,,,,,,,,,,
4132,"Ocean City, NJ",,,,,,,,,,,,,,,
4133,"Ogden-Clearfield, UT",4.0,3.05,0.56,0.74,0.2,0.94,"175,372",0.07,0.11,0.49,0.69,0.78,0.23,0.08,0.06
4134,"Oklahoma City, OK",4.0,2.49,0.5,0.72,0.23,0.9,"355,303",0.08,0.15,0.61,0.65,0.67,0.35,0.12,0.1
4135,"Olympia-Lacey-Tumwater, WA",,,,,,,,,,,,,,,
4136,"Omaha-Council Bluffs, NE-IA",3.0,2.48,0.51,0.73,0.2,0.93,"230,593",0.09,0.12,0.56,0.7,0.74,0.3,0.07,0.07
4137,"Orlando-Kissimmee-Sanford, FL",4.0,2.67,0.47,0.7,0.25,0.91,"670,108",0.07,0.12,0.47,0.64,0.66,0.32,0.12,0.1
4138,"Oshkosh-Neenah, WI",,,,,,,,,,,,,,,
4139,"Oxnard-Thousand Oaks-Ventura, CA",4.0,2.96,0.49,0.7,0.26,0.85,"192,533",0.06,0.12,0.47,0.65,0.66,0.37,0.09,0.06
4140,"Palm Bay-Melbourne-Titusville, FL",4.0,2.4,0.49,0.72,0.25,0.94,"120,289",0.14,0.17,0.34,0.56,0.68,0.39,0.11,0.07
4141,"Panama City, FL",,,,,,,,,,,,,,,
4142,"Parkersburg-Vienna, WV",,,,,,,,,,,,,,,
4143,"Pensacola-Ferry Pass-Brent, FL",4.0,2.47,0.47,0.72,0.23,0.92,"112,676",0.16,0.17,0.38,0.61,0.66,0.39,0.13,0.11
4144,"Peoria, IL",,,,,,,,,,,,,,,
4145,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4.0,2.48,0.46,0.69,0.25,0.92,"1,465,221",0.05,0.13,0.44,0.65,0.73,0.36,0.05,0.09
4146,"Phoenix-Mesa-Chandler, AZ",4.0,2.61,0.49,0.73,0.23,0.89,"1,171,188",0.07,0.12,0.54,0.64,0.66,0.35,0.11,0.08
4147,"Pine Bluff, AR",,,,,,,,,,,,,,,
